Cód. Perfil;Sigla;Nome Empresarial;CNPJ BÁSICO;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;média
71654;PENHA FEIRA DE SANTANA;PENHA EMBALAGENS BAHIA LTDA.;6043069;06.043.069/0001-89;441,875;401,099;455,835;437,985;446,65;459,75;470,836;442,724;;;;;444,59
71656;BRAND TEXTIL;BRAND TEXTIL LTDA;7258383;07.258.383/0001-41;170,881;178,383;210,914;209,815;206,561;0;0;0;;;;;122,07
71657;FDR JAYME RODRIGUES;FUNDACAO DR. JAYME RODRIGUES;4831032;04.831.032/0001-90;109,735;99,405;123,133;94,862;74,404;67,226;73,401;66,961;;;;;88,64
71658;BRASOXIDOS;BRASOXIDOS INDUSTRIA QUIMICA LTDA;53739652;53.739.652/0001-09;229,622;213,349;246,159;239,976;242,654;257,99;248,183;249,059;;;;;240,87
71659;UNIMED VALE DO ACO;UNIMED VALE DO ACO COOPERATIVA DE TRABALHO MEDICO;16991945;16.991.945/0001-52;477,236;410,877;494,515;451,084;377,113;329,888;348,197;385,59;;;;;409,31
71663;NOVA DFL;DFL INDUSTRIA E COMERCIO S/A;33112665;33.112.665/0001-46;309,256;280,974;328,737;280,023;250,186;211,094;225,957;223,029;;;;;263,66
71664;GROUPE SEB ITATIAIA;SEB DO BRASIL PRODUTOS DOMESTICOS LTDA;61077830;61.077.830/0001-01;1.219,96;1.421,88;918,084;1.410,61;1.653,44;1.333,95;1.537,85;1.536,48;;;;;1.379,03
71665;CINESYSTEM N;REDECINE BRA CINEMATOGRAFICA S.A;15422993;15.422.993/0001-67;196,996;165,588;184,971;177,685;206,307;188,038;205,648;190,571;;;;;189,48
71666;ELASFIL DO BRASIL LTDA;ELASFIL DO BRASIL LTDA;2208876;02.208.876/0001-53;289,551;300,629;351,622;332,222;359,78;368,248;361,409;381,395;;;;;343,11
71672;MOLAS MARCHETTI IND;TERCILIO MARCHETTI INDUSTRIA E COMERCIO DE AUTOPECAS LTDA;86377470;86.377.470/0005-18;223,118;319,795;383,66;353,546;396,486;379,183;366,942;403,281;;;;;353,25
71673;BENASSI;IRMAOS BENASSI PRODUTORA E DISTRIBUIDORA DE FRUTAS LTDA;29020880;29.020.880/0001-40;227,875;189,737;238,625;185,128;160,785;129,278;143,967;138,964;;;;;176,79
71675;BRAZ CUBAS;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;52556412;52.556.412/0001-06;42,551;43,895;101,545;83,208;78,56;56,063;35,573;61,715;;;;;62,89
71678;AERIS CL;AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A;12528708;12.528.708/0001-07;4.183,93;4.178,00;4.590,64;4.243,99;4.554,73;4.137,80;4.325,32;4.475,48;;;;;4.336,24
71683;NATURAVES;CESCONETTO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;11727497;11.727.497/0001-60;665,52;611,265;788,611;613,313;709,793;677,698;729,847;700,874;;;;;687,12
71684;PANDOLFO MADEIRAS;PANDOLFO MADEIRAS LTDA;92678440;92.678.440/0008-97;133,153;128,714;147,353;134,049;138,031;118,984;118,178;131,121;;;;;131,2
71701;SCHENDER;SCHENDER PRODUTOS ALIMENTICIOS LTDA;89140388;89.140.388/0001-30;153,842;134,007;147,678;129,634;127,184;118,659;125,479;128,98;;;;;133,18
